ID,qualification,a_level_subjects,reason_for_course,preferred_job,preferred_sector,most_enjoyable,prior_programming,confidence_maths,confidence_programming,confidence_python,career_clarity,postgraduate_intention,comments,consent
1,A-levels,Maths;Biology;Geography;,Job prospects and salary,Software or ML engineering,Not sure,Working with people and coordinating,"A lot (substantial projects, internships or paid work)",3,4,3,3,Maybe,,Yes
2,A-levels,Maths;Computer Science;Economics;,Genuine interest in AI/ML,Software or ML engineering,Universities,Finding patterns in data,None,3,1,1,4,Maybe,,Yes
3,A-levels,Maths;Chemistry;Computer Science;English (Language or Literature);,Genuine interest in AI/ML,"Research or further study (MSc, PhD)",Startups / small companies,Finding patterns in data,Moderate (personal projects),3,4,3,3,No,,Yes
4,A-levels,Maths;Economics;Business Studies;,Job prospects and salary,Data science / data analysis,Startups / small companies,Finding patterns in data,"A little (tutorials, school projects)",4,2,2,3,Maybe,Would like more on how ML is used in industry.,Yes
5,A-levels,Maths;Psychology;Art / Design / Media;,I enjoyed programming before university,Not sure yet,Big tech,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",3,4,4,2,No,"Hoping to get a summer internship, any advice would be great.",Yes
6,A-levels,Maths;English (Language or Literature);A modern foreign language;,"The university or city, more than the course","Research or further study (MSc, PhD)",Public sector or government,Finding patterns in data,"A little (tutorials, school projects)",3,1,1,2,No,,Yes
7,A-levels,Maths;Further Maths;Economics;,I enjoyed programming before university,"Research or further study (MSc, PhD)",Finance,Finding patterns in data,Moderate (personal projects),3,4,4,4,Yes,,Yes
8,A-levels,Maths;Chemistry;Biology;,Job prospects and salary,Something outside tech,Finance,Finding patterns in data,"A little (tutorials, school projects)",4,3,2,3,Maybe,,Yes
9,A-levels,Maths;Chemistry;Business Studies;,Genuine interest in AI/ML,Software or ML engineering,Not sure,Building practical things that work (including code),Moderate (personal projects),1,5,5,5,No,,Yes
10,A-levels,Maths;Physics;Sociology;,Job prospects and salary,Data science / data analysis,Finance,Building practical things that work (including code),"A little (tutorials, school projects)",2,1,1,3,Yes,,Yes
11,A-levels,Maths;Chemistry;Computer Science;,It was my insurance/clearing choice,Not sure yet,Big tech,Understanding why something works (theory),"A lot (substantial projects, internships or paid work)",2,5,4,2,Maybe,,Yes
12,A-levels,Maths;Chemistry;Economics;,I enjoyed programming before university,Data science / data analysis,Public sector or government,Finding patterns in data,None,3,2,2,4,No,,Yes
13,A-levels,Maths;Further Maths;Psychology;,It was my insurance/clearing choice,Software or ML engineering,Healthcare / biotech,Building practical things that work (including code),"A little (tutorials, school projects)",3,3,3,3,Maybe,,Yes
14,A-levels,Maths;Physics;Computer Science;,"The university or city, more than the course",Not sure yet,Big tech,Building practical things that work (including code),Moderate (personal projects),2,2,2,2,No,,Yes
15,A-levels,Maths;Psychology;Art / Design / Media;,I enjoyed programming before university,Software or ML engineering,Healthcare / biotech,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",4,5,5,3,No,Not sure yet whether I want to go into research or industry.,Yes
16,A-levels,Maths;A modern foreign language;Art / Design / Media;,Other,Data science / data analysis,Games / creative industries,Finding patterns in data,"A little (tutorials, school projects)",4,3,3,3,Maybe,,Yes
17,Access course / foundation year,,I enjoyed maths before university,Data science / data analysis,Big tech,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",1,4,3,4,Maybe,Python labs have been really helpful.,Yes
18,Access course / foundation year,,I enjoyed maths before university,Data science / data analysis,Games / creative industries,Building practical things that work (including code),Moderate (personal projects),2,3,2,4,No,,Yes
19,A-levels,Maths;Chemistry;Psychology;,I enjoyed programming before university,Software or ML engineering,Universities,Building practical things that work (including code),None,2,3,3,2,Maybe,,Yes
20,"International qualifications (IB, Baccalaureate, other)",,Genuine interest in AI/ML,Software or ML engineering,No preference,Understanding why something works (theory),"A little (tutorials, school projects)",2,4,3,3,Maybe,,Yes
21,A-levels,Maths;Chemistry;Biology;English (Language or Literature);,I enjoyed maths before university,Something outside tech,Finance,Working with people and coordinating,Moderate (personal projects),3,4,4,3,Yes,,Yes
22,A-levels,Maths;Physics;Sociology;,I enjoyed maths before university,Data science / data analysis,Big tech,Finding patterns in data,None,2,1,2,2,No,,Yes
23,A-levels,Maths;Biology;English (Language or Literature);A modern foreign language;,Other,Data science / data analysis,Big tech,Understanding why something works (theory),None,4,1,2,4,Maybe,,Yes
24,A-levels,Maths;Further Maths;Computer Science;,Genuine interest in AI/ML,Not sure yet,Universities,Building practical things that work (including code),Moderate (personal projects),3,5,4,2,Maybe,,Yes
25,A-levels,Maths;Physics;Economics;,Genuine interest in AI/ML,Software or ML engineering,Public sector or government,Building practical things that work (including code),"A little (tutorials, school projects)",3,4,4,3,No,,Yes
26,A-levels,Maths;Computer Science;Psychology;,I enjoyed programming before university,Data science / data analysis,Universities,Understanding why something works (theory),"A little (tutorials, school projects)",3,4,4,3,No,More practical coding examples please.,Yes
